Dispatch_ID,GPU_ID,Queue_ID,PID,TID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Start_Timestamp,End_Timestamp,Correlation_ID
20,2,1,430889,430889,394496,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701793535127,3793701793545807,0
21,2,1,430889,430889,327424,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701793585887,3793701793595167,0
22,2,1,430889,430889,220416,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701793636007,3793701793642927,0
23,2,1,430889,430889,242176,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701793682527,3793701793689847,0
24,2,1,430889,430889,455424,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701793731447,3793701793743247,0
25,2,1,430889,430889,301568,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701793782807,3793701793791368,0
26,2,1,430889,430889,276992,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701793833088,3793701793841168,0
27,2,1,430889,430889,237568,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701793881928,3793701793889168,0
28,2,1,430889,430889,455424,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701793933368,3793701793945168,0
29,2,1,430889,430889,468992,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701793985848,3793701793997848,0
30,2,1,430889,430889,178944,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794038088,3793701794044168,0
31,2,1,430889,430889,364800,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794085289,3793701794095129,0
32,2,1,430889,430889,247552,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794135889,3793701794143369,0
33,2,1,430889,430889,191232,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794183969,3793701794190449,0
34,2,1,430889,430889,645120,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794231169,3793701794246489,0
35,2,1,430889,430889,315136,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794287809,3793701794296609,0
36,2,1,430889,430889,434688,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794337130,3793701794348450,0
37,2,1,430889,430889,228864,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794389490,3793701794396570,0
38,2,1,430889,430889,234752,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794436530,3793701794443690,0
39,2,1,430889,430889,325888,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794483690,3793701794492930,0
40,2,1,430889,430889,209920,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794534930,3793701794541690,0
41,2,1,430889,430889,446720,256,0,0,12,4,32,64,"void at::native::vectorized_elementwise_kernel<8, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>>(int, at::native::FillFunctor<c10::Half>, std::array<char*, 1ul>) (.kd)",3793701794582051,3793701794593891,0
