Addr,Instruction,Hitcount,Cycles,C++ Reference
0x7f4ced428a90,"v_add_u32_e32 v72, 1, v71",32,128,
0x7f4ced428a94,"v_cmp_le_u32_e64 s[0:1], s35, v70",32,128,
0x7f4ced428a9c,s_nop 1,32,128,
0x7f4ced428aa0,"v_cndmask_b32_e64 v70, v71, v72, s[0:1]",32,128,
0x7f4ced428aa8,"v_xor_b32_e32 v77, s28, v69",32,128,
0x7f4ced428aac,"v_xor_b32_e32 v70, v70, v77",32,128,
0x7f4ced428ab0,"v_sub_u32_e32 v70, v70, v77",32,128,
0x7f4ced428ab4,"v_ashrrev_i32_e32 v71, 31, v70",32,128,
0x7f4ced428ab8,"v_lshl_add_u64 v[72:73], v[70:71], 2, s[18:19]",32,128,
0x7f4ced428ac0,"global_load_dword v86, v[72:73], off",32,10172,
0x7f4ced428ac8,"v_lshlrev_b32_e32 v74, 2, v67",32,128,
0x7f4ced428acc,"v_sub_u32_e32 v67, v68, v74",32,128,
0x7f4ced428ad0,"v_mul_lo_u32 v87, v70, s29",32,128,
0x7f4ced428ad8,"v_or_b32_e32 v78, 16, v79",32,128,
0x7f4ced428adc,"v_add_u32_e32 v68, v78, v69",32,128,
0x7f4ced428ae0,"v_xor_b32_e32 v68, v68, v69",32,128,
0x7f4ced428ae4,"v_mul_hi_u32 v70, v68, v0",32,128,
0x7f4ced428aec,"v_mul_lo_u32 v71, v70, s35",32,128,
0x7f4ced428af4,"v_sub_u32_e32 v68, v68, v71",32,128,
0x7f4ced428af8,"v_add_u32_e32 v71, 1, v70",32,128,
0x7f4ced428afc,"v_cmp_le_u32_e64 s[0:1], s35, v68",32,128,
0x7f4ced428b04,s_nop 1,32,128,
0x7f4ced428b08,"v_cndmask_b32_e64 v70, v70, v71, s[0:1]",32,128,
0x7f4ced428b10,"v_subrev_u32_e32 v71, s35, v68",32,128,
0x7f4ced428b14,"v_cndmask_b32_e64 v68, v68, v71, s[0:1]",32,128,
0x7f4ced428b1c,"v_add_u32_e32 v71, 1, v70",32,128,
0x7f4ced428b20,"v_cmp_le_u32_e64 s[0:1], s35, v68",32,128,
0x7f4ced428b28,s_nop 1,32,128,
0x7f4ced428b2c,"v_cndmask_b32_e64 v68, v70, v71, s[0:1]",32,128,
0x7f4ced428b34,"v_or_b32_e32 v76, 32, v79",32,128,
0x7f4ced428b38,"v_add_u32_e32 v70, v76, v69",32,128,
0x7f4ced428b3c,"v_xor_b32_e32 v70, v70, v69",32,128,
0x7f4ced428b40,"v_mul_hi_u32 v71, v70, v0",32,128,
0x7f4ced428b48,"v_mul_lo_u32 v72, v71, s35",32,128,
0x7f4ced428b50,"v_sub_u32_e32 v70, v70, v72",32,128,
0x7f4ced428b54,"v_add_u32_e32 v72, 1, v71",32,128,
0x7f4ced428b58,"v_cmp_le_u32_e64 s[0:1], s35, v70",32,128,
0x7f4ced428b60,s_nop 1,32,128,
0x7f4ced428b64,"v_cndmask_b32_e64 v71, v71, v72, s[0:1]",32,128,
0x7f4ced428b6c,"v_subrev_u32_e32 v72, s35, v70",32,128,
0x7f4ced428b70,"v_cndmask_b32_e64 v70, v70, v72, s[0:1]",32,128,
0x7f4ced428b78,"v_add_u32_e32 v72, 1, v71",32,128,
0x7f4ced428b7c,"v_cmp_le_u32_e64 s[0:1], s35, v70",32,128,
0x7f4ced428b84,s_nop 1,32,128,
0x7f4ced428b88,"v_cndmask_b32_e64 v70, v71, v72, s[0:1]",32,128,
0x7f4ced428b90,"v_or_b32_e32 v75, 48, v79",32,128,
0x7f4ced428b94,"v_add_u32_e32 v71, v75, v69",32,128,
0x7f4ced428b98,"v_xor_b32_e32 v69, v71, v69",32,128,
0x7f4ced428b9c,"scratch_store_dword off, v0, off offset:2320",32,1072,
0x7f4ced428ba4,"v_mul_hi_u32 v71, v69, v0",32,128,
0x7f4ced428bac,"v_mul_lo_u32 v72, v71, s35",32,128,
0x7f4ced428bb4,"v_sub_u32_e32 v69, v69, v72",32,128,
0x7f4ced428bb8,"v_add_u32_e32 v72, 1, v71",32,128,
0x7f4ced428bbc,"v_cmp_le_u32_e64 s[0:1], s35, v69",32,128,
0x7f4ced428bc4,s_nop 1,32,128,
0x7f4ced428bc8,"v_cndmask_b32_e64 v71, v71, v72, s[0:1]",32,128,
0x7f4ced428bd0,"v_subrev_u32_e32 v72, s35, v69",32,128,
0x7f4ced428bd4,"v_cndmask_b32_e64 v69, v69, v72, s[0:1]",32,128,
0x7f4ced428bdc,"v_add_u32_e32 v72, 1, v71",32,128,
0x7f4ced428be0,"v_cmp_le_u32_e64 s[0:1], s35, v69",32,128,
0x7f4ced428be8,s_nop 1,32,128,
0x7f4ced428bec,"v_cndmask_b32_e64 v69, v71, v72, s[0:1]",32,128,
0x7f4ced428bf4,"v_xor_b32_e32 v68, v68, v77",32,128,
0x7f4ced428bf8,"v_sub_u32_e32 v72, v68, v77",32,128,
0x7f4ced428bfc,"v_ashrrev_i32_e32 v73, 31, v72",32,128,
0x7f4ced428c00,"v_lshl_add_u64 v[80:81], v[72:73], 2, s[18:19]",32,128,
0x7f4ced428c08,"v_xor_b32_e32 v68, v70, v77",32,128,
0x7f4ced428c0c,"v_sub_u32_e32 v70, v68, v77",32,128,
0x7f4ced428c10,"v_ashrrev_i32_e32 v71, 31, v70",32,128,
0x7f4ced428c14,"v_lshl_add_u64 v[82:83], v[70:71], 2, s[18:19]",32,128,
0x7f4ced428c1c,"v_xor_b32_e32 v68, v69, v77",32,128,
0x7f4ced428c20,"v_sub_u32_e32 v68, v68, v77",32,128,
0x7f4ced428c24,"v_ashrrev_i32_e32 v69, 31, v68",32,128,
0x7f4ced428c28,"v_lshl_add_u64 v[84:85], v[68:69], 2, s[18:19]",32,128,
0x7f4ced428c30,"global_load_dword v71, v[80:81], off",32,1028,
0x7f4ced428c38,"global_load_dword v77, v[82:83], off",32,268,
0x7f4ced428c40,"global_load_dword v73, v[84:85], off",32,260,
0x7f4ced428c48,"v_sub_u32_e32 v80, v79, v87",32,128,
0x7f4ced428c4c,s_waitcnt vmcnt(4),32,40304,
0x7f4ced428c50,"v_mad_u64_u32 v[80:81], s[0:1], v86, s29, v[80:81]",32,128,
0x7f4ced428c58,"v_mul_lo_u32 v69, v80, s34",32,128,
0x7f4ced428c60,"s_mov_b32 s42, s39",32,152,
0x7f4ced428c64,"v_lshlrev_b32_e32 v67, 1, v67",32,128,
0x7f4ced428c68,"buffer_load_dwordx2 v[64:65], v67, s[40:43], 0 offen",32,524,
0x7f4ced428c70,"buffer_load_dwordx2 v[92:93], v67, s[40:43], 0 offen offset:32",32,128,
0x7f4ced428c78,"buffer_load_dwordx2 v[94:95], v67, s[40:43], 0 offen offset:64",32,144,
0x7f4ced428c80,"buffer_load_dwordx2 v[42:43], v67, s[40:43], 0 offen offset:96",32,192,
0x7f4ced428c88,"s_mov_b32 s40, s50",32,152,
0x7f4ced428c8c,"s_mov_b32 s41, s55",32,152,
0x7f4ced428c90,"s_mov_b32 s42, s56",32,152,
0x7f4ced428c94,"v_add_lshl_u32 v67, v69, v38, 1",32,128,
0x7f4ced428c9c,"buffer_load_dwordx4 v[80:83], v67, s[40:43], 0 offen",32,3072,
0x7f4ced428ca4,"s_mov_b32 s44, 0x5040100",32,152,
0x7f4ced428cac,"v_add_u32_e32 v0, 32, v38",32,128,
0x7f4ced428cb0,"v_add_lshl_u32 v67, v69, v0, 1",32,128,
0x7f4ced428cb8,s_waitcnt vmcnt(0),32,45372,
0x7f4ced428cbc,"v_lshrrev_b32_e32 v79, 16, v80",32,128,
0x7f4ced428cc0,"v_lshrrev_b32_e32 v84, 16, v81",32,128,
0x7f4ced428cc4,"v_lshrrev_b32_e32 v85, 16, v82",32,128,
0x7f4ced428cc8,"v_lshrrev_b32_e32 v86, 16, v83",32,128,
0x7f4ced428ccc,"v_cndmask_b32_e32 v83, 0, v83, vcc",32,128,
0x7f4ced428cd0,"v_cndmask_b32_e32 v82, 0, v82, vcc",32,128,
0x7f4ced428cd4,"v_cndmask_b32_e32 v81, 0, v81, vcc",32,128,
0x7f4ced428cd8,"v_cndmask_b32_e32 v80, 0, v80, vcc",32,128,
